type,subtype,updated_type,updated_subtype,updated_subsubtype
JAM,Unclassified,Jam,Traffic,Unclassified
ACCIDENT,Unclassified,Accident,Unclassified,Unclassified
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified
HAZARD,Unclassified,Hazard,Unclassified,Unclassified
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Major
ACCIDENT,ACCIDENT_MINOR,Accident,Minor,Minor
HAZARD,HAZARD_ON_ROAD,Hazard,Road,Unclassified
HAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Hazard,Road,Car Stopped
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Hazard,Road,Construction
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,Road,Emergency Vehicle
HAZARD,HAZARD_ON_ROAD_ICE,Hazard,Road,Unclassified
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,Road,Object
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Hazard,Road,Pothole
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,Road,Traffic Light Fault
HAZARD,HAZARD_ON_SHOULDER,Hazard,Shoulder,Unclassified
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,Shoulder,Car Stopped
HAZARD,HAZARD_WEATHER,Hazard,Weather,Unclassified
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood
JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy
JAM,JAM_MODERATE_TRAFFIC,Jam,Traffic,Moderate
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Standstill
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Event
HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,Hazard,Road,Lane Closed
HAZARD,HAZARD_WEATHER_FOG,Hazard,Weather,Fog
ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,Road_closed,Unclassified,Unclassified
HAZARD,HAZARD_ON_ROAD_ROAD_KILL,Hazard,Road,Road Kill
HAZARD,HAZARD_ON_SHOULDER_ANIMALS,Hazard,Shoulder,Unclassified
HAZARD,HAZARD_ON_SHOULDER_MISSING_SIGN,Hazard,Shoulder,Unclassified
JAM,JAM_LIGHT_TRAFFIC,Jam,Traffic,Light
HAZARD,HAZARD_WEATHER_HEAVY_SNOW,Hazard,Weather,Snow
ROAD_CLOSED,ROAD_CLOSED_HAZARD,Road_closed,Unclassified,Unclassified
HAZARD,HAZARD_WEATHER_HAIL,Hazard,Weather,Unclassified
