hour,binned_lat_lon,alert_count
00:00,"(41.96, -87.75)",1179
00:00,"(41.88, -87.65)",1079
00:00,"(41.89, -87.66)",902
00:00,"(41.87, -87.65)",613
00:00,"(41.9, -87.67)",556
00:00,"(41.83, -87.64)",547
00:00,"(41.96, -87.76)",454
00:00,"(41.92, -87.69)",401
00:00,"(41.86, -87.65)",400
00:00,"(41.97, -87.77)",393
01:00,"(41.96, -87.75)",966
01:00,"(41.88, -87.65)",965
01:00,"(41.89, -87.66)",798
01:00,"(41.87, -87.65)",543
01:00,"(41.9, -87.67)",486
01:00,"(41.83, -87.64)",457
01:00,"(41.69, -87.6)",343
01:00,"(41.86, -87.65)",339
01:00,"(41.91, -87.67)",301
01:00,"(41.96, -87.76)",295
02:00,"(41.96, -87.75)",756
02:00,"(41.88, -87.65)",713
02:00,"(41.89, -87.66)",688
02:00,"(41.9, -87.67)",409
02:00,"(41.87, -87.65)",398
02:00,"(41.83, -87.64)",383
02:00,"(41.86, -87.65)",353
02:00,"(41.69, -87.6)",313
02:00,"(41.91, -87.67)",257
02:00,"(41.85, -87.65)",243
03:00,"(41.88, -87.65)",735
03:00,"(41.96, -87.75)",683
03:00,"(41.89, -87.66)",579
03:00,"(41.87, -87.65)",457
03:00,"(41.9, -87.67)",396
03:00,"(41.83, -87.64)",386
03:00,"(41.69, -87.6)",301
03:00,"(41.86, -87.65)",232
03:00,"(41.91, -87.67)",230
03:00,"(41.87, -87.67)",202
04:00,"(41.88, -87.65)",773
04:00,"(41.96, -87.75)",764
04:00,"(41.87, -87.65)",389
04:00,"(41.89, -87.66)",378
04:00,"(41.83, -87.64)",338
04:00,"(41.69, -87.6)",320
04:00,"(41.9, -87.67)",254
04:00,"(41.71, -87.64)",221
04:00,"(41.86, -87.65)",214
04:00,"(41.84, -87.64)",155
05:00,"(41.96, -87.75)",720
05:00,"(41.88, -87.65)",646
05:00,"(41.83, -87.64)",312
05:00,"(41.69, -87.6)",307
05:00,"(41.71, -87.64)",222
05:00,"(41.87, -87.65)",212
05:00,"(41.89, -87.66)",178
05:00,"(41.86, -87.65)",155
05:00,"(41.9, -87.67)",116
05:00,"(41.8, -87.64)",99
06:00,"(41.96, -87.75)",628
06:00,"(41.88, -87.65)",523
06:00,"(41.69, -87.6)",262
